Name,Country,Province,Population,Longitude,Latitude
Aksu,TJ,Xinjiang Uygur,164092.0,,
Akure,WAN,Nigeria,143000.0,,
Akureyri,IS,Iceland,13000.0,-18.3,65.4
Akyab,MYA,Rakhine,107600.0,,
Al Amarah,IRQ,Maysan,208797.0,,
Al Ayn,UAE,Abu Dhabi,176441.0,,
Al Basrah,IRQ,Al Basrah,406296.0,,
al Fasher,SUD,Darfur,,,
Al Hillah,IRQ,Babil,268834.0,,
Al Kut,IRQ,Wasit,183183.0,,
al Qadarif,SUD,ash Sharqiyah,189384.0,,
al Ubayyid,SUD,Kurdufan,228096.0,,
Alagoinhas,BR,Bahia,122882.0,,
Alajuela,CR,Alajuela,158300.0,,
Alba Iulia,RO,Alba,,,
Albacete,E,Castile La Mancha,141179.0,,
Albany,AUS,Western Australia,,118.0,-35.0
Albany,USA,New York,100031.0,-73.75,42.65
Albuquerque,USA,New Mexico,384915.0,,
Alcala de Henares,E,Madrid,166250.0,,
Alcorcon,E,Madrid,142165.0,,
Aleppo,SYR,Syria,976727.0,36.0,36.0
Alexandria,ET,El Iskandariya,2917000.0,30.0,31.0
Alexandria,RO,Teleorman,,,
Alexandria,USA,Virginia,111182.0,,
Algeciras,E,Andalusia,103787.0,,
Algier,DZ,Algeria,1507241.0,3.05,36.7667
Alicante,E,Valencia,274964.0,,
Aligarh,IND,Uttar Pradesh,480520.0,,
Allahabad,IND,Uttar Pradesh,806486.0,,
Allentown,USA,Pennsylvania,105301.0,-75.4333,40.65
Almada,P,Lisbon,42607.0,,
Almaty,KAZ,Almaty (munic.),1172400.0,76.8833,43.2333
Almeria,E,Andalusia,167361.0,,
Almetyevsk,R,Rep. of Tatarstan,138000.0,,
Alofi,NIUE,Niue,,-169.9,-19.05
Alor Setar,MAL,Kedah,125026.0,,
Altdorf,CH,UR,,,
Alvorada,BR,Rio Grande do Sul,160671.0,,
Amadora,P,Lisbon,95518.0,,
Amarillo,USA,Texas,157571.0,-100.7,35.2333
Amasya,TR,Amasya,,,
Ambon,RI,Indonesia,276955.0,,
Americana,BR,Sao Paulo,167901.0,,
Amiens,F,Picardie,131872.0,2.19,49.55
Amman,JOR,Jordan,777500.0,35.95,31.95
Amol,IR,Mazandaran,139923.0,,
Amravati,IND,Maharashtra,421576.0,,
Amritsar,IND,Punjab,708835.0,,
Amsterdam,NL,Noord Holland,1101407.0,4.91667,52.3833
An Najaf,IRQ,An Najaf,309010.0,,
An Nasiriyah,IRQ,Dhi Qar,265937.0,,
Anadyr,R,Chukotsky ao,,,
Anaheim,USA,California,266406.0,,
Ananindeua,BR,Para,342905.0,,
Anapolis,BR,Goias,264873.0,,
Anchorage,USA,Alaska,226338.0,-150.017,61.1667
Ancona,I,Marche,103268.0,13.28,43.38
Anda,TJ,Heilongjiang,136446.0,,
Andijon,UZB,Andijon,303000.0,,
Andorra la Vella,AND,Andorra,15600.0,1.3,42.3
Angarsk,R,Irkutskaya oblast,267000.0,,
Angers,F,Pays de la Loire,141404.0,,
Angren,UZB,Toshkent,132000.0,,
Anju,NOK,North Korea,186000.0,,
Ankang,TJ,Shaanxi,142170.0,,
Ankara,TR,Ankara,2782200.0,32.8833,39.95
Ann Arbor,USA,Michigan,109608.0,,
Annaba,DZ,Algeria,222518.0,,
Annapolis,USA,Maryland,31740.0,-76.3,39.0
Anqing,TJ,Anhui,250718.0,,
Anshan,TJ,Liaoning,1390000.0,,
Anshun,TJ,Guizhou,174142.0,,
Antakya,TR,Hatay,137200.0,,
Antalya,TR,Antalya,497200.0,,
Antananarivo,RM,Antananarivo,1250000.0,47.4,-18.6
Antsirabe,RM,Antananarivo,100000.0,,
Antsiranana,RM,Antsiranana,220000.0,,
Antwerp,B,Antwerp,459072.0,4.23,51.1
Anyang,TJ,Henan,420332.0,,
Anzhero Sudzhensk,R,Kemerovskaya oblast,101000.0,,
Aomori,J,Aomori,,,
Aosta,I,Valle dAosta,,7.22,45.45
Aparecida de Goiania,BR,Sao Paulo,265446.0,,
Apia,WS,Samoa,36000.0,-171.0,-12.0
Apopa,ES,El Salvador,100763.0,,
Appenzell,CH,AI,,,
Apucarana,BR,Parana,101005.0,,
Aqmola,KAZ,Aqmola,280200.0,,
Aqtau,KAZ,Mangghystau,151300.0,,
Aqtobe,KAZ,Aqtobe,258900.0,,
Ar Ramadi,IRQ,Al Anbar,192556.0,,
Aracaju,BR,Sergipe,426580.0,-37.1,-11.0
Aracatuba,BR,Sao Paulo,162546.0,,
Arad,RO,Arad,191000.0,,
Araguaina,BR,Goias,105000.0,,
Arak,IR,Markazi,378597.0,,
Arapiraca,BR,Sergipe,173351.0,,
Araraquara,BR,Sao Paulo,163831.0,,
Arauca,CO,Arauca,,,
Arbil,IRQ,Arbil,485968.0,,
Ardabil,IR,Azarbayian e Sharqi,329869.0,,
Arendal,N,Aust Agder,12174.0,8.4,58.3
Arequipa,PE,Arequipa,619156.0,,
Arkhangelsk,R,Arkhangelskaya oblast,374000.0,40.5333,64.55
Arlington,USA,Texas,261717.0,,
Arlington,USA,Virginia,170897.0,,
Arlon,B,Luxembourg,23150.0,5.8,49.7
Armavir,R,Krasnodarsky kray,164000.0,,
Armenia,CO,Quindio,220303.0,,
Arnhem,NL,Gelderland,314159.0,,
Arqalyq,KAZ,Torghay,,,
Artvin,TR,Artvin,,,
Arusha,EAT,Arusha,134708.0,,
Arzamas,R,Nizhegorodskaya oblast,112000.0,,
As Samawah,IRQ,Al Muthanna,,,
As Sulaymaniyah,IRQ,As Sulaymaniyah,364096.0,,
Ashgabat,TM,Ahal,416400.0,58.2,37.58
Asmara,ER,Eritrea,,38.9167,15.2833
Assen,NL,Drenthe,,,
Astrakhan,R,Astrakhanskaya oblast,486000.0,,
Asuncion,PY,Paraguay,729307.0,-57.3,-25.5
Aswan,ET,Aswan,196000.0,,
Asyut,ET,Asyut,291000.0,,
Athens,GR,Attiki,885737.0,23.7167,37.9667
Atizapan de Zaragoza,MEX,"Mexico, Estado de",315059.0,,
Atlanta,USA,Georgia,393929.0,-84.4,33.4
Atyrau,KAZ,Atyrau,146900.0,,
Auckland,NZ,New Zealand,952600.0,175.0,-36.0
Augsburg,D,Bayern,262110.0,,
Augusta,USA,Maine,21819.0,-69.8,44.3167
Aurangabad,IND,Maharashtra,573272.0,,
Aurora,USA,Colorado,222103.0,,
Aurora,USA,Illinois,99672.0,-88.3333,41.75
Austin,USA,Texas,472020.0,-97.7,30.3
Avarua,COOK,Cook Islands,,-159.46,-21.12
Aveiro,P,Aveiro,,,
Avellaneda,RA,Buenos Aires,346620.0,,
Ayacucho,PE,Ayacucho,105918.0,,
Aydin,TR,Aydin,121200.0,,
Aylesbury,GB,Buckinghamshire,151600.0,,
Babol,IR,Mazandaran,137348.0,,
Bacau,RO,Bacau,193000.0,,
Badajoz,E,Estremadura,130153.0,,
Badalona,E,Catalonia,219340.0,,
Bafoussam,CAM,Ouest,131000.0,,
Bage,BR,Rio Grande do Sul,114091.0,,
Baghdad,IRQ,Baghdad,4478000.0,44.4,33.3333
Bago,MYA,Bago,150500.0,,
Bahawalpur,PK,Pakistan,180263.0,,
Bahia Blanca,RA,Buenos Aires,260096.0,,
Bahir Dar,ETH,Ethiopia,115531.0,,
Baia Mare,RO,Maramures,150000.0,,
Baicheng,TJ,Jilin,217987.0,,
Baiyin,TJ,Gansu,204970.0,,
Bakersfield,USA,California,176264.0,-119.05,35.4167
Bakhtaran,IR,Bakhtaran,665636.0,47.1,34.2
Baku,AZ,Azerbaijan,1740000.0,49.5,40.3
Balakovo,R,Saratovskaya oblast,206000.0,,
Balashikha,R,Moskovskaya oblast,136000.0,,
Balikesir,TR,Balikesir,187600.0,,
Balikpapan,RI,Indonesia,344405.0,,
Baltimore,USA,Maryland,736014.0,-76.4167,39.3333
Bamako,RMM,Mali,,-7.6,12.3
Bamenda,CAM,Nordoueste,138000.0,,
Banda Aceh,RI,Indonesia,184699.0,,
Bandar Abbas,IR,Hormozgan,383515.0,,
Bandar e Bushehr,IR,Bushehr,132824.0,,
Bandar Lampung,RI,Indonesia,636706.0,,
Bandar Seri Begawan,BRU,Brunei,56300.0,115.0,5.0
Bandundu,ZRE,Bandundu,,17.4,3.3
Bandung,RI,Indonesia,2058649.0,107.4,-6.58
Bangalore,IND,Karnataka,3302296.0,77.6167,12.95
Bangkok,THA,Thailand,5876000.0,100.5,13.7333
Bangui,RCA,Central African Republic,,18.5,4.3
Banjarmasin,RI,Indonesia,481371.0,,
Banjul,WAG,Gambia,,-17.0,13.5
Baoding,TJ,Hebei,483155.0,,
Baoji,TJ,Shaanxi,337765.0,,
Baotou,TJ,Nei Monggol,1200000.0,,
Baqubah,IRQ,Diyala,114516.0,,
Baracaldo,E,Basque Country,103594.0,,
Barbacena,BR,Minas Gerais,107843.0,,
Barcelona,E,Catalonia,1630867.0,2.15,41.4
Barcelona,YV,Anzoategui,221792.0,,
Bareilly,IND,Uttar Pradesh,590661.0,,
Bari,I,Puglia,353032.0,16.5,41.8
Barinas,YV,Barinas,153630.0,,
Barisal,BD,Bangladesh,188000.0,,
Barnaul,R,Altayskiy kray,596000.0,,
Barnsley,GB,South Yorkshire,226500.0,,
Barquisimeto,YV,Lara,625450.0,,
Barra Mansa,BR,Rio de Janeiro,164768.0,,
Barrancabermeja,CO,Santander del Sur,180653.0,,
Barranquilla,CO,Atlantico,1064255.0,-74.8,10.95
Barreiras,BR,Bahia,113544.0,,
Barreiro,P,Lisbon,50863.0,,
Barretos,BR,Sao Paulo,104782.0,,
Barry,GB,Vale of Glamorgan,,,
Barueri,BR,Sao Paulo,176740.0,,
Baruta,YV,Miranda,182941.0,,
Basel,CH,BS,172768.0,,
Basildon,GB,Essex,161700.0,,
Basingstoke,GB,Hampshire,146500.0,,
Basse-Terre,GUAD,Guadeloupe,,-61.8,16.15
Basseterre,KN,Saint Kitts and Nevis,14700.0,-62.3,17.0
Batam,RI,Indonesia,106667.0,,
Batman,TR,Batman,182800.0,,
Batna,DZ,Algeria,181601.0,,
Baton Rouge,USA,Louisiana,219531.0,-91.15,30.5333
Bauru,BR,Sao Paulo,293026.0,,
Bayamo,C,Granma,137663.0,,
Bayburt,TR,Bayburt,,,
Beaumont,USA,Texas,114323.0,-94.0167,29.95
Bechar,DZ,Algeria,107311.0,,
Bedford,GB,Bedfordshire,137300.0,,
Beer Sheva,IL,South,,,
Beian,TJ,Heilongjiang,204899.0,,
Beihai,TJ,Guangxi Zhuangzu,112673.0,,
Beijing,TJ,Beijing (munic.),7000000.0,116.2,39.5
Beipiao,TJ,Liaoning,194301.0,,
Beira,MOC,Sofala,298847.0,,
Beirut,RL,Lebanon,702000.0,35.4667,33.9
Beja,P,Beja,,,
Bejaia,DZ,Algeria,114534.0,,
Bekescaba,H,Bekes,,,
Belem,BR,Para,1142258.0,-48.4833,-1.45
Belfast,GB,Northern Ireland,297100.0,-5.91667,54.6
Belfort Roxo,BR,Rio de Janeiro,393520.0,,
Belgorod,R,Belgorodskaya oblast,322000.0,,
Belgrade,SRB,Serbia,1407073.0,20.4667,44.8
Bellinzona,CH,TI,,,
Bello,CO,Antioquia,304819.0,,
Belmopan,BZ,Belize,3000.0,-88.5,17.1
Belo Horizonte,BR,Minas Gerais,2091770.0,-43.95,-19.9333
Bengasi,LAR,Libya,,20.0,32.0
Bengbu,TJ,Anhui,449245.0,,
Bengkulu,RI,Indonesia,170327.0,,
Benguela,ANG,Benguela,,,
Benha,ET,El Qalubiya,120000.0,,
Beni Mellal,MA,Morocco,386505.0,,
Beni Suef,ET,Beni Suef,163000.0,,
Benin City,WAN,Nigeria,203000.0,,
Benoni,RSA,Gauteng,114000.0,,
Benxi,TJ,Liaoning,768778.0,,
Berezniki,R,Permskaya oblast,184000.0,,
Bergamo,I,Lombardia,117886.0,,
Bergen,N,Hordaland,207916.0,5.2,60.2
Bergisch Gladbach,D,Nordrhein Westfalen,105122.0,,
Berkeley,USA,California,102724.0,,
Berlin,D,Berlin,3472009.0,13.3,52.45
Bern,CH,BE,134393.0,7.3,46.6
Bertoua,CAM,Est,,,
Besancon,F,Franche Comte,113828.0,6.2,47.1
Betim,BR,Minas Gerais,249795.0,,
Beverley,GB,Humberside,115800.0,,
Bhatpara,IND,Madhya Pradesh,315976.0,,
Bhavnagar,IND,Gujarat,402338.0,,
Bhilai,IND,Madhya Pradesh,395360.0,,
Bhiwandi,IND,Maharashtra,392214.0,,
Bhopal,IND,Madhya Pradesh,1062771.0,77.4,23.1
Bhubaneswar,IND,Orissa,411542.0,85.5,20.2
Biala Podlaska,PL,Bialskopodlaskie,,,
Bialystok,PL,Bialostockie,268000.0,,
Bida,WAN,Nigeria,111000.0,,
Bie,ANG,Bie,,,
Biel,CH,BE,53308.0,,
Bielefeld,D,Nordrhein Westfalen,324067.0,,
Bielsko Biala,PL,Bielskie,180000.0,,
Bikaner,IND,Rajasthan,416289.0,,
Bilbao,E,Basque Country,371876.0,,
Bilecik,TR,Bilecik,,,
Bingol,TR,Bingol,,,
Binjai,RI,Indonesia,181904.0,,
Birjand,IR,Khorasan,101177.0,,
Birmingham,GB,West Midlands,1008400.0,-1.93333,52.4833
Birmingham,USA,Alabama,265347.0,-86.75,33.5667
Birobidzhan,R,Yevreyskaya avt. oblast,,,
Bishkek,KGZ,Kyrgyzstan,630000.0,74.5,42.4
Bisho,RSA,Eastern Cape,93288.0,,
Bismarck,USA,North Dakota,44485.0,-100.5,46.4
Bissau,GNB,Guinea-Bissau,,-15.5,11.5
Bistrita,RO,Bistrita Nasaud,,,
Bitlis,TR,Bitlis,,,
Biysk,R,Altayskiy kray,228000.0,,
Blackburn,GB,Lancashire,139500.0,,
Blackpool,GB,Lancashire,153600.0,,
Blagoveshchensk,R,Amurskaya oblast,214000.0,,
Blida,DZ,Algeria,127284.0,,
Blitar,RI,Indonesia,119011.0,,
Bloemfontein,RSA,Free State,127000.0,,
Blumenau,BR,Santa Catarina,230988.0,,
Boa Vista,BR,Roraima,154166.0,-60.4,2.5
Bocas del Toro,PA,Bocas del Toro,,,
Bochum,D,Nordrhein Westfalen,401129.0,,
Bodoe,N,Nordland,34479.0,14.2,67.2
Bogor,RI,Indonesia,271711.0,,
Bogota,CO,"Santa Fe de Bogota, DC",5237635.0,-74.0833,4.6
Bogra,BD,Bangladesh,130000.0,,
Boise,USA,Idaho,126685.0,-116.2,43.4
Bojnurd,IR,Khorasan,112426.0,,
Bokara Steel City,IND,Bihar,333683.0,,
Boksburg,RSA,Gauteng,120000.0,,
Bologna,I,Emilia Romagna,411803.0,11.22,44.3
Bolton,GB,Greater Manchester,265200.0,,
Bolu,TR,Bolu,,,
Bolzano,I,Trentino Alto Adige,100380.0,11.5,46.0
Boma,ZRE,Bas Zaire,135284.0,,
Bombay,IND,Maharashtra,,72.8167,18.9
Bonn,D,Nordrhein Westfalen,293072.0,7.5,50.4
Bordeaux,F,Aquitaine,210336.0,-0.4,44.51
Borujerd,IR,Lorestan,201016.0,,
Boston,USA,Massachusetts,574283.0,-71.0333,42.3667
Botosani,RO,Botosani,,,
Bottrop,D,Nordrhein Westfalen,119669.0,,
Botucatu,BR,Sao Paulo,100826.0,,
Boulogne Billancourt,F,Ile de France,101743.0,,
Bournemouth,GB,Dorset,159900.0,,
Bracknell,GB,Berkshire,101900.0,,
Bradford,GB,West Yorkshire,481700.0,,
Braga,P,Braga,63033.0,,
Braganca,P,Braganca,,,
Braganca Paulista,BR,Sao Paulo,109863.0,,
Brahmanbaria,BD,Bangladesh,125000.0,,
Braila,RO,Braila,243000.0,,
Braintree,GB,Essex,121800.0,,
Brampton,CDN,Ontario,234445.0,,
Brasilia,BR,Distrito Federal,1817001.0,-47.9167,-15.8667
Brasov,RO,Brasov,353000.0,,
Bratislava,SK,Slovakia,,17.1,48.1
Bratsk,R,Irkutskaya oblast,257000.0,,
Braunschweig,D,Niedersachsen,254130.0,,
Brazzaville,RCB,Congo,,15.25,-4.25
Breda,NL,Noord Brabant,166616.0,,
Bregenz,A,Vorarlberg,,9.45,47.3
Bremen,D,Bremen,549182.0,8.5,53.7
Bremerhaven,D,Bremen,130847.0,,
Brescia,I,Lombardia,196766.0,,
Brest,F,Bretagne,147956.0,,
Bridgend,GB,Bridgend,,,
Bridgeport,USA,Connecticut,141686.0,-73.1833,41.1833
Bridgetown,BDS,Barbados,10000.0,-59.4,13.1
Brighton,GB,East Sussex,154400.0,,
Brisbane,AUS,Queensland,1302000.0,153.033,-27.4667
Bristol,GB,Avon,399200.0,,
Brno,CZ,Jihomoravsky,393000.0,,
Brownsville,USA,Texas,107027.0,,
Brugge,B,West Flanders,117799.0,3.2,51.1
Brussels,B,Brabant,951580.0,4.35,50.85
Bryansk,R,Bryanskaya oblast,462000.0,,
Bucaramanga,CO,Santander del Sur,351737.0,,
Bucharest,RO,Bucuresti,2037000.0,26.1,44.4167
Budapest,H,Budapest (munic.),2016000.0,19.0333,47.5167
Buea,CAM,Sudoueste,,,
Buenaventura,CO,Valle de Cauca,266988.0,,
Buenos Aires,RA,Distrito Federal,2988006.0,-58.4833,-34.5833
Buffalo,USA,New York,328175.0,-78.7333,42.9333
Bujumbura,BI,Burundi,,29.0,-4.0
Bukavu,ZRE,Kivu,201569.0,,
Bukhoro,UZB,Bukhoro,236000.0,,
Bukoba,EAT,Kagera,,,
Bur Said,ET,Bur Said (munic.),382000.0,,
Burdur,TR,Burdur,,,
Burgos,E,Castile and Leon,166251.0,,
Burlington,CDN,Ontario,129575.0,,
Burnaby,CDN,British Columbia,158858.0,,
Bursa,TR,Bursa,996600.0,,
Bury,GB,Greater Manchester,181400.0,,
Bushehr,IR,Bushehr,,,
Butembo,ZRE,Kivu,109406.0,,
Buzau,RO,Buzau,145000.0,,
Bydgoszcz,PL,Bydgoskie,380000.0,,
Bytom,PL,Katowickie,230000.0,,
Cabimas,YV,Zulia,165755.0,,
Cabinda,ANG,Cabinda,,,
Cabo de Santo Agostinho,BR,Pernambuco,137295.0,,
Cabo Frio,BR,Rio de Janeiro,101142.0,,
Cachoeiro de Itapemirim,BR,Espirito Santo,147283.0,,
Cadiz,E,Andalusia,155438.0,-6.2,36.3
Caen,F,Basse Normandie,112846.0,-0.2,49.3
Caernarfon,GB,Gwynedd,,,
Cagayan de Oro,RP,Philippines,428000.0,,
Cagliari,I,Sardegna,211719.0,9.5,39.15
Cairo,ET,El Qahira,6053000.0,31.3333,29.8667
Cajamarca,PE,Cajamarca,92447.0,,
Calabar,WAN,Nigeria,154000.0,,
Calarasi,RO,Calarasi,,,
Calcutta,IND,West Bengal,4399819.0,88.3333,22.5333
Calgary,CDN,Alberta,710677.0,-114.017,51.1
Cali,CO,Valle de Cauca,1718871.0,-76.5,3.41667
Callao,PE,Callao,,,
Cam Pha,VN,Vietnam,127408.0,,
Camacari,BR,Bahia,134768.0,,
Camaguey,C,Camaguey,293961.0,,
Camaragibe,BR,Pernambuco,111190.0,,
Cambridge,GB,Cambridgeshire,113800.0,,
Campeche,MEX,Campeche,150518.0,-90.3,19.5
Campina Grande,BR,Paraiba,340412.0,,
Campinas,BR,Sao Paulo,907996.0,,
Campo Grande,BR,Mato Grosso do Sul,598216.0,,
Campobasso,I,Molise,,14.5,41.5
Campos dos Goytacazes,BR,Rio de Janeiro,391299.0,,
Can Tho,VN,Vietnam,284306.0,,
Canakkale,TR,Canakkale,,,
Canberra,AUS,Australia Capital Territory,310000.0,149.08,-35.1
Cancun,MEX,Quintana Roo,167730.0,,
Cangzhou,TJ,Hubei,242708.0,,
Cankiri,TR,Cankiri,,,
Canoas,BR,Rio Grande do Sul,284114.0,,
Canterbury,GB,Kent,132400.0,,
Cape Coast,GH,Ghana,57224.0,,
Cape Town,RSA,Western Cape,855000.0,18.4833,-33.9333
Caracas,YV,Distrito Federal,1822465.0,-66.9333,10.5
Carapicuiba,BR,Sao Paulo,328015.0,,
Cardiff,GB,Cardiff,300000.0,-3.16667,51.4667
Cariacica,BR,Espirito Santo,300085.0,,
Carletonville,RSA,Gauteng,119000.0,,
Carlisle,GB,Cumbria,102900.0,,
Carmarthen,GB,Carmarthenshire,,,
Carson City,USA,Nevada,32022.0,-119.767,39.1667
Cartagena,CO,Bolivar,745689.0,,
Cartagena,E,Murcia,179659.0,,
Cartago,CO,Valle de Cauca,117166.0,,
Cartago,CR,Cartago,109000.0,,
Caruaru,BR,Pernambuco,231874.0,,
Casablanca,MA,Morocco,2940623.0,-7.65,33.5833
Cascavel,BR,Parana,219623.0,,
Castanhal,BR,Para,117747.0,,
Castellon de la Plana,E,Valencia,139094.0,,
Castelo Branco,P,Castelo Branco,,,
Castries,WL,Saint Lucia,49000.0,-60.5,14.0
Catanduva,BR,Sao Paulo,100913.0,,
Catania,I,Sicilia,364176.0,,
Catanzaro,I,Calabria,103802.0,16.35,38.55
Catia La Mar,YV,Distrito Federal,100104.0,,
Caucaia,BR,Ceara,208902.0,,
Caxias,BR,Maranhao,133710.0,,
Caxias do Sul,BR,Rio Grande do Sul,326222.0,,
Caxito,ANG,Bengo,,,
Cayenne,FGU,French Guiana,38155.0,-52.45,4.93333
Cebu,RP,Philippines,662000.0,,
Cedar Rapids,USA,Iowa,108772.0,-91.7,41.8833
Celaya,MEX,Guanajuato,214856.0,,
Cerro de Pasco,PE,Pasco,,,
Ceske Budejovice,CZ,Jihocesky,174000.0,,
Chachapoyas,PE,Amazonas,,,
Chake Cahke,EAT,Kusini Pemba,,,
Chalons en Champagne,F,Champagne Ardenne,,4.4,49.0
Chandigarh,IND,Chandigarh,510565.0,76.5,30.5
Chandler,USA,Arizona,89862.0,,
Changchun,TJ,Jilin,2110000.0,125.15,43.5
Changde,TJ,Hunan,301276.0,,
Changhua,RC,Taiwan,221090.0,,
Changsha,TJ,Hunan,1330000.0,113.5,28.1
Changshu,TJ,Jiangsu,181805.0,,
Changzhi,TJ,Shanxi,317144.0,,
Changzhou,TJ,Jiangsu,531470.0,,
Chaoxian,TJ,Anhui,123676.0,,
Chaoyang,TJ,Liaoning,222394.0,,
Chaozhou,TJ,Guangdong,313469.0,,
Chapeco,BR,Santa Catarina,130458.0,,
Charjew,TM,Leban,166400.0,,
Charleroi,B,Hainaut,206491.0,,
Charleston,USA,West Virginia,63968.0,-81.6,38.3667
Charlotte,USA,North Carolina,419539.0,-80.9333,35.2167
Charlotte Amalie,VIRG,Virgin Islands,,-64.9,18.3
Charlottetown,CDN,Prince Edward Island,24837.0,-63.2,46.2
Chattanooga,USA,Tennessee,152393.0,-85.2,35.0333
Cheboksary,R,Chuvash Republic,450000.0,,
Cheju,ROK,South Korea,258509.0,,
Chelm,PL,Chelmskie,,,
Chelmsford,GB,Essex,155700.0,,
Cheltenham,GB,Gloucestershire,106700.0,,
Chelyabinsk,R,Chelyabinskaya oblast,1086000.0,,
Chemnitz,D,Sachsen,274162.0,,
Chengde,TJ,Hebei,246799.0,,
Chengdu,TJ,Sichuan,2810000.0,107.15,33.15
Cherepovets,R,Vologodskaya oblast,320000.0,,
Cherkasy,UA,Cherkaska,297000.0,,
Cherkessk,R,Karachayevo Cherkessk Rep.,119000.0,,
Chernihiv,UA,Chernihivska,301000.0,,
Chernivtsi,UA,Chernivetska,257000.0,,
Chesapeake,USA,Virginia,151982.0,,
Chester,GB,Cheshire,120800.0,,
Chesterfield,GB,Derbyshire,101200.0,,
Chetumal,MEX,Quintana Roo,23685.0,-88.2,18.3
Cheyenne,USA,Wyoming,47283.0,-104.817,41.15
Chiai,RC,Taiwan,261941.0,,
Chiang Mai,THA,Thailand,167000.0,,
Chiba,J,Chiba,843000.0,,
Chicago,USA,Illinois,2783726.0,-87.6333,41.8833
Chichester,GB,West Sussex,102500.0,,
Chiclayo,PE,Lambayeque,411536.0,,
Chifeng,TJ,Nei Monggol,350077.0,,
Chihuahua,MEX,Chihuahua,516153.0,-106.1,28.4
Chilpancingo,MEX,Guerrero,36193.0,-99.3,17.3
Chilung,RC,Taiwan,370049.0,,
Chimbote,PE,Ancash,268979.0,,
Chimoio,MOC,Manica,108818.0,,
Chinandega,NIC,Nicaragua,101211.0,,
Chincha Alta,PE,Ica,110016.0,,
Chingola,Z,Copperbelt,167954.0,,
Chiniot,PK,Pakistan,105559.0,,
Chinju,ROK,South Korea,329913.0,,
Chipata,Z,Eastern,,,
Chirchiq,UZB,Toshkent,156000.0,,
Chisinau,MD,Moldova,663000.0,28.1,47.2
Chita,R,Chitinskaya oblast,322000.0,,
Chitre,PA,Herrera,34700.0,,
Chittagong,BD,Bangladesh,1599000.0,91.8333,22.35
Choluteca,HCA,Choluteca,63200.0,,
Chongjin,NOK,North Korea,520000.0,,
Chongju,ROK,South Korea,531195.0,,
Chongqing,TJ,Sichuan,2980000.0,,
Chonju,ROK,South Korea,563406.0,,
Chorzow,PL,Katowickie,133000.0,,
Christchurch,NZ,New Zealand,952600.0,172.66,-43.5
Chula Vista,USA,California,135160.0,,
Chunchon,ROK,South Korea,235067.0,,
Chungho,RC,Taiwan,387123.0,,
Chungli,RC,Taiwan,295825.0,,
Chur,CH,GR,,,
Chuxian,TJ,Anhui,125341.0,,
Ciechanow,PL,Ciechanowskie,,,
Ciego de Avila,C,Ciego de Avila,,,
Cienaga,CO,"Guajira, La",144340.0,,
Cienfuegos,C,Cienfuegos,132038.0,,
Cincinnati,USA,Ohio,364114.0,-84.5167,39.15
Cirebon,RI,Indonesia,254878.0,,
Ciudad Apodaca,MEX,Nuevo Leon,103364.0,,
Ciudad Bolivar,YV,Bolivar,225340.0,,
Ciudad Guayana,YV,Bolivar,453047.0,,
