Node,Degree Centrality,Closeness Centrality,Betweenness Centrality
EMP098,0.000379,0.000126,0
EMP123,0.000379,0.000126,0
EMP383,0.002,0.00013,0.000439
EMP439,0.00019,0.000126,0
EMP571,0.001,0.000126,0.00039
EMP296,6.32E-05,0.000126,0
EMP481,6.32E-05,0.000126,0
EMP297,0.00019,0.000126,0
EMP301,0.000442,0.000139,0.000951
EMP172,0.000253,0.000126,0
EMP425,0.000126,0.000139,0
EMP476,0.000695,0.000137,0.001
EMP306,0.003,0.000135,0
EMP309,0.000379,0.000136,0
EMP315,0.002,0.000135,0
EMP316,0,0.000126,0
EMP319,0.00019,0.000128,9.76E-05
EMP429,0.000442,0.000135,0
EMP323,0,0.000126,0
EMP332,0.000126,0.00013,0
EMP333,0,0.000126,0
EMP335,0,0.000126,0
EMP338,0.001,0.000129,0
EMP370,0.001,0.000128,9.76E-05
EMP344,0.000379,0.000126,0
EMP570,0.000379,0.000126,0
EMP347,0.000253,0.000127,0
EMP352,0.00019,0.000126,0
EMP353,0.00019,0.000127,0
EMP354,0.000379,0.000126,0
EMP556,0.000442,0.000126,0
EMP356,0.001,0.000128,2.44E-05
EMP488,0.00019,0.000126,0
EMP543,0.001,0.000128,2.44E-05
EMP364,6.32E-05,0.000126,0
EMP373,0.000695,0.000137,0.001
EMP376,0,0.000126,0
EMP388,0.00019,0.000126,0
EMP215,0.00019,0.000126,0
EMP390,0,0.000126,0
EMP394,0,0.000126,0
EMP414,6.32E-05,0.000126,0
EMP416,0.000253,0.000128,0
EMP419,0.000505,0.00013,0
EMP433,6.32E-05,0.000128,0
EMP436,0.00019,0.000127,0
EMP441,6.32E-05,0.000136,0
EMP446,0.002,0.000128,0.000146
EMP595,0.00019,0.000126,0
EMP447,6.32E-05,0.00013,0
EMP449,0.000316,0.000128,0
EMP227,6.32E-05,0.000126,0
EMP452,0.000947,0.000128,0
EMP458,0.00019,0.000126,0
EMP568,0.00019,0.000126,0
EMP460,0.000379,0.000136,0
EMP382,6.32E-05,0.000126,0
EMP485,0,0.000126,0
EMP451,6.32E-05,0.000126,0
EMP522,6.32E-05,0.000126,0
EMP491,0.00019,0.000136,0
EMP497,0,0.000126,0
EMP506,0.000568,0.000128,0
EMP509,0.000379,0.000128,0
EMP514,0,0.000126,0
EMP519,0.004,0.000129,0
EMP523,0.00019,0.000143,0
EMP527,0.000884,0.000135,0
EMP478,0.000253,0.000126,0
EMP539,0,0.000126,0
EMP540,0,0.000126,0
EMP250,0.00019,0.000126,0
EMP270,0.00019,0.000126,0
EMP546,0.002,0.000135,0
EMP303,0.001,0.000126,0
EMP558,0.000126,0.000126,0
EMP437,0.000126,0.000126,0
EMP560,0.000379,0.000141,0
EMP561,6.32E-05,0.000132,0
EMP569,0,0.000126,0
EMP159,0.00019,0.000126,0
EMP584,0,0.000126,0
EMP585,6.32E-05,0.000129,0
EMP588,0.00019,0.000126,0
EMP591,0.000126,0.000132,0
EMP594,0.00019,0.000126,0
EMP597,6.32E-05,0.000127,0
EMP600,0.000126,0.000127,0
